keyword,tfidf_weight
층수,0.17164389250632767
1층,0.1608993035883703
000만원,0.15198057265064702
기타업종,0.13412504483949145
기타창업모음,0.1198767618262002
강남역,0.10898217826167352
일반음식점,0.10612813704162191
2층,0.1005033870526753
5분,0.0977351168879291
5층,0.09336984990035563
4층,0.08673445997589346
4분,0.08481177269427578
6층,0.07568759123809234
역삼역,0.07527539614376658
6분,0.07172683712758618
3층,0.06364477689758961
종각역,0.06213561716321109
서비스업,0.060789947920340676
500만원,0.06078826471234781
휴게음식점,0.05537924039129838
신논현역,0.05062797511249534
3분,0.04650270411298107
한식점,0.04515998008978567
경복궁,0.04420744617999727
정부서울청사,0.04420744617999727
200만원,0.04224984641708994
300만원,0.041750191151436425
10층,0.039794546287098685
카페,0.03322791728007027
커피점,0.03322791728007027
