keyword,tfidf_weight
3232,0.25943087445347246
주소,0.25943087445347246
전화번호,0.25943087445347246
1522,0.25943087445347246
서울특별시,0.18313342826759127
경기도,0.14678856781450675
1층,0.05872854159365836
부산광역시,0.05376557107802324
강남구,0.037202396621833375
인천광역시,0.03568344217366117
대구광역시,0.03336610340080185
중구,0.03294247411077396
경상남도,0.03289472269778727
대전광역시,0.024773546994766242
경상북도,0.024156989148208775
광주광역시,0.023264308867585563
충청남도,0.022698373565438155
서초구,0.022412010661296198
서구,0.022280606063202223
2층,0.02115614560961321
수원시,0.019440072566060382
용인시,0.019267793138617147
남구,0.018688944797326534
성남시,0.01858801344815234
영등포구,0.01793129386042721
10,0.017642312667954026
고양시,0.017288258204282245
북구,0.01702219654481163
동구,0.015129208724622154
분당구,0.01324309485653566
